longSMA,tpd,ntp,lev,stop,sltp,maxdist,gidx,port_growth,port_posMo%,port_worstM%,port_DDmonthly%,BTC_growth,BTC_dd,BTC_green,BTC_ntr,ETH_growth,ETH_dd,ETH_green,ETH_ntr,XRP_growth,XRP_dd,XRP_green,XRP_ntr,BNB_growth,BNB_dd,BNB_green,BNB_ntr,trades_day,disp_minmax,eth_platform_ret_est%
1700,0.3,15,1.0,0.005,1,0.015,4759348,109.2308696227469,62.76595744680851,-17.598994648162623,21.432965984775006,19.573387273269134,50.20457338288333,52.17391304347826,4870.0,301.09873031948644,37.27601250663671,55.913978494623656,4339.0,5.065095816991241,86.25753960515242,50.0,6131.0,40.17255870084964,62.29360432257054,54.255319148936174,4857.0,6.912048186185306,0.016822043094027087,13618.641
1700,0.3,15,1.0,0.005,1,0.0,4759344,108.55467608315318,62.76595744680851,-17.59899464816263,18.430522605740308,18.155666649348188,50.20457338288337,52.17391304347826,4885.0,282.1038244437804,37.27601250663676,55.913978494623656,4352.0,6.175013502484135,80.29384310781116,51.08695652173913,6174.0,35.263839274453936,62.66972561945279,54.255319148936174,4883.0,6.945244634868772,0.02188915203350862,12756.626
2800,0.28,15,1.0,0.008,2,0.0075,11264264,106.95443544819598,62.365591397849464,-16.531944836223715,20.619820851363972,36.8034845823129,30.140354117458195,51.80722891566265,3226.0,479.6422526818811,32.36525874215193,53.84615384615385,2660.0,6.312171063372867,74.67003287123907,49.42528735632184,4049.0,16.808076898932274,77.22847274015882,41.86046511627907,3777.0,4.692677364409215,0.013160164743783247,21756.357
2000,0.3,9,1.0,0.004,1,0.005,6536353,106.56544582943555,65.95744680851064,-17.26472025912559,21.42210093795464,47.67193460295965,34.751347754874025,50.0,4075.0,606.3715845636846,37.975599339434346,55.43478260869565,3828.0,2.5127875776066464,83.92143903477532,40.21739130434783,5088.0,18.167316577827844,55.90560470329456,52.68817204301075,4342.0,5.931897371448725,0.0041439731702050744,27517.34
2800,0.29,14,1.0,0.008,2,0.0075,11283416,106.12952487797943,62.365591397849464,-16.5319448362237,20.82194583566393,37.049854755017684,30.75347454150126,51.80722891566265,3226.0,490.2128063589257,32.36525874215192,53.84615384615385,2660.0,6.3084360668903985,74.51851033764552,48.275862068965516,4048.0,16.414100725999365,77.98449905746251,41.86046511627907,3777.0,4.692335132979488,0.012868770430023132,22236.902
1700,0.3,15,1.0,0.005,3,0.0,4759356,105.48642689132451,63.829787234042556,-17.5989946481626,18.40774598384217,18.449885710268546,49.755981583610634,53.26086956521739,4867.0,259.9436666653257,36.98656272169456,55.913978494623656,4334.0,5.915281741132602,80.43749029037414,51.08695652173913,6157.0,33.75330980319363,62.936151595847456,53.763440860215056,4865.0,6.920946203358193,0.02275601408957755,11750.983
1700,0.3,15,1.0,0.005,3,0.015,4759360,105.3444660932759,63.829787234042556,-17.59899464816261,21.594061050614417,19.890581003127654,49.755981583610684,53.26086956521739,4852.0,278.84066525155197,36.9865627216946,55.913978494623656,4320.0,4.7557335176298485,86.35771467876026,50.0,6118.0,38.068207482886635,62.56271467472793,53.763440860215056,4841.0,6.889460911823359,0.017055380044153655,12608.547
1700,0.3,14,1.0,0.005,1,0.015,4757980,105.18233907547283,62.76595744680851,-17.598994648162595,21.418218843590765,19.601415513665607,50.20637393216953,52.17391304347826,4870.0,300.7970932813466,37.237491616069875,55.913978494623656,4339.0,4.899828964339584,86.24151467516329,50.0,6131.0,38.9672679462007,62.260209522502784,54.255319148936174,4857.0,6.912048186185306,0.016289482424474738,13604.916
1700,0.3,15,1.0,0.005,4,0.0,4759362,105.12391462069905,63.829787234042556,-17.598994648162638,18.407745983842176,18.449885710268546,49.755981583610634,53.26086956521739,4867.0,259.0675140874074,36.986562721694575,55.913978494623656,4334.0,5.914101281028823,80.44139420624026,51.08695652173913,6157.0,33.50222184804304,62.93615159584748,53.763440860215056,4865.0,6.920946203358193,0.022828417147792025,11711.212
1700,0.3,15,1.0,0.005,4,0.015,4759366,104.9890835392851,63.829787234042556,-17.598994648162613,21.594061050614407,19.890581003127654,49.755981583610684,53.26086956521739,4852.0,277.9008194348684,36.98656272169459,55.913978494623656,4320.0,4.7557335176298485,86.35771467876026,50.0,6118.0,37.785021376728245,62.56271467472789,53.763440860215056,4841.0,6.889460911823359,0.01711306043393819,12565.895
2000,0.3,9,1.0,0.004,2,0.005,6536359,104.67220362794065,67.02127659574468,-17.2647202591256,21.345759085841223,48.72397368207947,34.751347754874054,50.0,4063.0,618.9334894257034,37.92794645944785,54.94505494505494,3804.0,2.2672422671467154,84.09442967478236,39.56043956043956,5084.0,15.981278283764553,55.88544661794253,51.61290322580645,4329.0,5.913759105673223,0.003663143626709303,28088.412
1700,0.3,14,1.0,0.005,1,0.0,4757976,104.56627060155276,62.76595744680851,-17.598994648162623,18.41310940442501,18.18166477539041,50.206373932169576,52.17391304347826,4885.0,281.8212162708312,37.23749161606989,55.913978494623656,4352.0,5.981204607068795,80.24552194554299,51.08695652173913,6174.0,34.20582403157559,62.63666393251582,54.255319148936174,4883.0,6.945244634868772,0.02122340072977627,12743.829
1700,0.29,15,1.0,0.005,1,0.015,4738828,104.17028737498825,62.76595744680851,-17.598994648162623,21.475176348307095,19.1865466450252,50.229928520810084,52.17391304347826,4870.0,310.4079530877412,37.31205049742869,55.913978494623656,4340.0,4.715429142508944,86.31336711390064,50.0,6131.0,38.08854606511797,62.335622090636875,54.255319148936174,4858.0,6.9127326490447585,0.01519107063979144,14041.107
2800,0.26,15,1.0,0.008,2,0.0075,11223224,103.6044706879904,62.365591397849464,-16.531944836223676,20.687357268902613,36.11279722418817,30.441612140100666,51.80722891566265,3226.0,476.866093121584,32.365258742152015,55.12820512820513,2660.0,6.45591273417848,73.8572263876226,49.42528735632184,4050.0,15.47235409177593,77.0939444054438,41.86046511627907,3777.0,4.693019595838941,0.01353820879131461,21630.21
1700,0.28,15,1.0,0.005,1,0.015,4718308,103.4995239016681,62.76595744680851,-17.5989946481626,21.517378631111132,18.75472789304993,50.255283658736715,52.17391304347826,4872.0,317.4259530500705,37.34808848822075,55.913978494623656,4340.0,4.803946849468436,86.2287953384704,50.0,6132.0,37.577236583106874,62.37761650610422,54.255319148936174,4859.0,6.914101574763664,0.015134070807092025,14359.523
2800,0.28,14,1.0,0.008,2,0.0075,11262896,103.4885198261944,62.365591397849464,-16.531944836223694,20.58443056265777,36.74925482001008,30.003884181683603,51.80722891566265,3226.0,475.4937478285402,32.36525874215195,53.84615384615385,2660.0,6.241646067301453,74.61017759977237,49.42528735632184,4049.0,16.108712388285653,77.15296815477296,41.86046511627907,3777.0,4.692677364409215,0.013126662749627042,21567.771
1700,0.29,15,1.0,0.005,1,0.0,4738824,103.43668907088538,62.76595744680851,-17.598994648162627,18.44258675380919,17.796845286710827,50.22992852081008,52.17391304347826,4885.0,290.82577203464984,37.312050497428665,55.913978494623656,4353.0,5.7333185443373775,80.42649220895528,51.08695652173913,6174.0,33.4344739313195,62.711324260282694,54.255319148936174,4884.0,6.945929097728225,0.019713928735498355,13152.434
1700,0.3,15,1.0,0.005,1,0.02,4759349,103.19496073159688,62.76595744680851,-17.598994648162613,21.519801448743916,18.804016992637703,50.20457338288339,52.17391304347826,4878.0,292.17793050410495,37.27601250663671,55.913978494623656,4345.0,4.5503686356052375,86.59768263509811,50.0,6154.0,38.40053019809947,62.48213630095758,54.255319148936174,4866.0,6.927790831952723,0.015573964220207615,13213.765
2000,0.3,15,1.0,0.011,1,0.005,6544729,103.06381264169957,62.76595744680851,-19.678490451508864,20.07410022096516,31.00289438340917,40.10539542538561,52.17391304347826,4025.0,428.59946152780867,37.27618567338147,52.17391304347826,3761.0,3.067900775032922,73.27213099811927,45.65217391304348,4932.0,19.156140502543916,63.261184503705636,50.0,4204.0,5.79124025383115,0.007157966937468652,19436.32
