week,rv,atrp,ncross_2000,adx14,er10,er20,vr8,vol_z,bbw,rsi14,absdist,max_absdev,mean_absdev,max_since_h,max_jump,p99_jump,wick_mean,ret_d,sign_trend,corr,beta,rel,growth,n,stops,maxstreak,absret_w,sigret_w,grp,series
2523,0.06352116617698546,0.08912999285402615,0.0,0.9091862578372376,0.23967276951749142,,0.9557781063207454,,,54.515882192396475,,,,0.0,0.009696223937490183,0.005374816581800682,0.5419697571551543,-0.003405370336695032,,0.8765822751903046,1.3847796359498108,0.01734041222555815,0.6349278173604943,40.0,33.0,12.0,0.02464552143574439,-0.02464552143574439,loss,8wbn3i6ef6uatNGeIVUn_v0
2524,0.04245849116072053,0.08746744321974152,0.0,2.173616389196836,0.2659608737110382,0.18431955061253588,0.873408741144099,,0.25908543154817204,49.06223596915921,0.11532299207209329,0.1250729581295626,0.08114440550711201,11.992857142857142,0.006760758997225772,0.003785043474245043,0.5693805873289884,-0.027805427917368543,-1.0,0.8941555830689422,1.1662795286705019,-0.003004821522299601,1.2823858229918244,14.0,5.0,3.0,0.18689045069540322,-0.18689045069540322,mid,8wbn3i6ef6uatNGeIVUn_v0
2527,0.04536614891261719,0.08085179680534493,12.285714285714286,21.73718257348293,0.40474662273981293,0.2537361388104336,1.0055444673685154,-0.2764375847636273,0.2583574252522949,39.939047644808,0.08122120058160247,0.10580249560542267,0.06858961159301107,108.97619047619048,0.008937860772817843,0.0042662507035983715,0.5585204637946911,-0.03149018245758426,-1.0,0.8608790489782223,1.2283307220975321,-0.013771386341848086,1.3986333213560356,28.0,7.0,3.0,0.20619817101084226,-0.20619817101084226,mid,8wbn3i6ef6uatNGeIVUn_v0
2530,0.03960031327604056,0.0815804159609255,4.285714285714286,36.2801842978212,0.29688422067502857,0.19657796284562964,0.9820813035194637,0.4657057900961013,0.3111890417169647,40.71174110121581,0.06865363406089021,0.10196120413708064,0.07680075433570033,363.92857142857144,0.00870401866474253,0.0038834139942701715,0.5836953977416907,0.007353300296752829,-1.0,0.9005832771714102,1.0706422865298775,-0.04875446778973923,0.797810392480829,26.0,13.0,4.0,0.04821518886422704,0.04821518886422704,mid,8wbn3i6ef6uatNGeIVUn_v0
2531,0.032487821132293274,0.06927563642376379,6.285714285714286,31.200524279056005,0.29393364396137606,0.15612784545831437,0.9804273945924481,-0.1305819318896241,0.25208577718726927,44.89156371081354,0.02861411631485584,0.053672620234445904,0.028614629865816484,29.99761904761905,0.006913067882140071,0.0031488999765768855,0.5782848108181965,-0.0061547898722129875,-0.14285714285714285,0.8875066336925668,1.1576579952517858,-0.0006638943507960283,0.9621035000639553,22.0,10.0,2.0,0.04683106377704693,-0.04683106377704693,mid,8wbn3i6ef6uatNGeIVUn_v0
2532,0.0319114039965191,0.06599475643826043,3.5714285714285716,30.160820330793204,0.1894446261820347,0.14367476204220933,0.952067048293315,0.8461399507733453,0.17988803095212755,46.0756579105259,0.051978072822360055,0.08271729162432306,0.050571906312149695,76.83809523809524,0.006970819870676728,0.0031509545094498,0.584049018061965,0.011588808070697546,-0.14285714285714285,0.8520554212472219,1.1771548912836756,-0.02791525085755603,1.0126419819047798,11.0,3.0,1.0,0.07918699536914531,0.07918699536914531,mid,8wbn3i6ef6uatNGeIVUn_v0
2533,0.036293949955855775,0.0652151082793456,20.0,21.76532704703511,0.14150644033989487,0.05143649574642563,0.9775117608626156,-0.3336946650518376,0.1750485645627646,48.12334749035166,0.020599368005407098,0.04185887540793293,0.018332228246079357,39.452380952380956,0.0064393222220033575,0.0032407032196151,0.5479298378477436,-0.0014444196745029,-0.14285714285714285,0.815014125628951,0.9613348366331699,-0.1371880826930502,0.6631475242734661,49.0,21.0,5.0,0.013758764718033945,-0.013758764718033945,loss,8wbn3i6ef6uatNGeIVUn_v0
2534,0.02972594225367567,0.05905622304378411,6.428571428571429,15.232159908728322,0.16526393845687223,0.05251618696448307,0.859548952341898,0.7416194128629511,0.1656041368529381,46.05128236851034,0.02842679702196897,0.04724162175655201,0.027798233472979845,35.99523809523809,0.0051842001351410285,0.0026710935121465997,0.5741536412568294,-0.016050207497636686,0.14285714285714285,0.7770684407520253,0.7397944657425216,-0.05928549393022407,1.5780911467347478,24.0,12.0,3.0,0.10841301446698293,-0.10841301446698293,gain,8wbn3i6ef6uatNGeIVUn_v0
2539,0.035810507139858415,0.07387752807017471,5.142857142857143,34.44848748519041,0.21694896642126169,0.1239755719336948,1.1442028425953643,0.36948154141388717,0.1799216139121787,38.698011153920866,0.04708767784119224,0.06730831047720544,0.03089229400326727,354.71666666666664,0.007195690206336772,0.003383994915979629,0.5867473067710055,-0.029998053424851814,-0.14285714285714285,0.8761276407568782,1.4224063038327412,-0.05807041250553798,1.3817596438690498,22.0,8.0,4.0,0.20909357241717852,-0.20909357241717852,mid,8wbn3i6ef6uatNGeIVUn_v0
2542,0.056615084872117374,0.09601657707737092,10.142857142857142,30.652319164280208,0.2559622890711792,0.1728974664812768,1.029736327539729,0.4791085709744541,0.465873266476348,47.3041873392179,0.0523660019028919,0.09649578726410889,0.055313810677644785,147.7404761904762,0.01018068766670013,0.0051892684536565285,0.5529270720379561,0.0040418946061830845,0.7142857142857143,0.7420395061981725,1.7279889526988943,0.06602827198195267,0.6892357341026172,37.0,28.0,8.0,0.0176339436056272,0.0176339436056272,loss,8wbn3i6ef6uatNGeIVUn_v0
2543,0.04557891630997537,0.09241588284866879,10.714285714285714,22.593706761227615,0.2102855497289514,0.15003199933338227,0.9442650024778981,-0.19109730555009855,0.2983034418064588,47.40509629852848,0.05365968447437174,0.08654166978414513,0.05068306039910916,83.30714285714285,0.009842093879851656,0.0042981956105202284,0.5668085708603626,0.005736847450966329,0.7142857142857143,0.7866954998078581,1.885259159426859,-0.015382637899775184,0.9105960989432043,25.0,11.0,3.0,0.03615866567932002,0.03615866567932002,mid,8wbn3i6ef6uatNGeIVUn_v0
2544,0.02334645702304297,0.07202979812660915,14.428571428571429,17.379003115994788,0.14697819352620858,0.09460531422045614,0.7559535589422499,-2.2488889561229963,0.18361726962236216,47.81792434844614,0.011616480895334727,0.025311302167020384,0.009986957454169759,34.24761904761905,0.004568369620747829,0.0021359434303903713,0.536949925902764,0.0037883032030081435,1.0,0.8284017294063756,1.6600991811096169,-0.008011485902073385,0.8411424386240985,34.0,5.0,2.0,0.026217338700823545,0.026217338700823545,mid,8wbn3i6ef6uatNGeIVUn_v0
2545,0.04267101414355324,0.07639548520145521,2.7142857142857144,19.001769255717125,0.322798539458773,0.20872440388518362,1.3243796091188489,-0.5146730908561837,0.22185980126932342,40.91750931522995,0.0784666008442101,0.10711413196386751,0.0728259500903519,62.17142857142857,0.010521698739615887,0.004200320968548571,0.5500838068910846,-0.005353993745102831,-1.0,0.8747026007952217,1.6087158189130142,-0.08543861533917327,1.0699759778122107,20.0,19.0,14.0,0.05423107149727968,-0.05423107149727968,mid,8wbn3i6ef6uatNGeIVUn_v0
2548,0.02218904111475133,0.0406343735729643,0.42857142857142855,12.896191922565986,0.30416716856012943,0.09600753011600524,0.8892729923774897,0.05498677113395727,0.10269383869811588,50.37273789083013,0.03768693754375948,0.05185898457851713,0.03341787978761369,280.8071428571428,0.005741835993408629,0.002186371590443843,0.6034227180820009,0.014160680785729043,0.14285714285714285,0.8116750741198423,1.5319162104209223,0.0330400329588251,0.9900991123237829,3.0,1.0,1.0,0.10090675305690078,0.10090675305690078,mid,8wbn3i6ef6uatNGeIVUn_v0
